61266250,"A 313 200 000 UI POUR CENT, pommade",1469
62869109,"A 313 50 000 U.I., capsule molle",1469
62401060,"ABACAVIR MYLAN 300 mg, comprimé pelliculé sécable",1
63797011,"ABACAVIR SANDOZ 300 mg, comprimé pelliculé sécable",1
63431640,"ABACAVIR/LAMIVUDINE BIOGARAN 600 mg/300 mg, comprimé pelliculé",1
65196479,"ABACAVIR/LAMIVUDINE EG 600 mg/300 mg, comprimé pelliculé",1
62170486,"ABACAVIR/LAMIVUDINE MYLAN 600 mg/300 mg, comprimé pelliculé",1
67720261,"ABACAVIR/LAMIVUDINE SANDOZ 600 mg/300 mg, comprimé pelliculé",1
65857902,"ABACAVIR/LAMIVUDINE TEVA 600 mg/300 mg, comprimé pelliculé",1
62202005,"ABACAVIR/LAMIVUDINE ZENTIVA 600 mg/300 mg, comprimé pelliculé",1
63152345,"ABACAVIR/LAMIVUDINE/ZIDOVUDINE MYLAN 300 mg/150 mg/300 mg, comprimé pelliculé",1
66513085,"ABASAGLAR 100 unités/ml, solution injectable en cartouche",821
64332894,"ABASAGLAR 100 unités/ml, solution injectable en stylo prérempli",821
66207341,"ABELCET 5 mg/ml, suspension à diluer pour perfusion",152
60386663,"ABELMOSCHUS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH",
60538772,"ABIES CANADENSIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",
65698396,"ABIES NIGRA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH",
63075735,"ABIES PECTINATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",
69985792,"ABIES PECTINATA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",
62425595,"ABIES PECTINATA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",
64055988,"ABILIFY 1 mg/ml, solution buvable",181
65198099,"ABILIFY 10 mg, comprimé",181
61815891,"ABILIFY 10 mg, comprimé orodispersible",181
64224801,"ABILIFY 15 mg, comprimé",181
66791654,"ABILIFY 15 mg, comprimé orodispersible",181
60599533,"ABILIFY 5 mg, comprimé",181
69641873,"ABILIFY 7,5 mg/ml, solution injectable",181
68729480,"ABILIFY MAINTENA 300 mg, poudre et solvant pour suspension injectable à libération prolongée",181
60667087,"ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée",181
66706942,"ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie",181
68739019,"ABRAXANE 5 mg/ml, poudre pour suspension injectable pour perfusion",1278
62082709,"ABROTANUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",
67871676,"ABROTANUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",
62024766,"ABROTANUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",
64457435,"ABSINTHIUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",
60612094,"ABSINTHIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",
68336954,"ABSTRAL 100 microgrammes, comprimé sublingual",717
67144513,"ABSTRAL 200 microgrammes, comprimé sublingual",717
61464150,"ABSTRAL 300 microgrammes, comprimé sublingual",717
60282999,"ABSTRAL 400 microgrammes, comprimé sublingual",717
63451714,"ABSTRAL 600 microgrammes, comprimé sublingual",717
61578296,"ABSTRAL 800 microgrammes, comprimé sublingual",717
64728712,"ABUFENE 400 mg, comprimé",254
63185053,"ACADIONE 250 mg, comprimé dragéifié",1701
62963238,"ACALYPHA INDICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",
69724187,"ACAMPROSATE BIOGARAN 333 mg, comprimé pelliculé gastro-résistant",6
60929194,"ACAMPROSATE MYLAN 333 mg, comprimé enrobé gastro-résistant",6
68371745,"ACARBOSE ARROW LAB 100 mg, comprimé",7
63958735,"ACARBOSE ARROW LAB 50 mg, comprimé",7
64127672,"ACARBOSE BIOGARAN 100 mg, comprimé sécable",7
69116854,"ACARBOSE BIOGARAN 50 mg, comprimé",7
65803331,"ACARBOSE EG 100 mg, comprimé",7
61937888,"ACARBOSE EG 50 mg, comprimé",7
60946941,"ACARBOSE MYLAN 100 mg, comprimé sécable",7
60989978,"ACARBOSE MYLAN 50 mg, comprimé",7
67093136,"ACARBOSE SANDOZ 100 mg, comprimé",7
69771614,"ACARBOSE SANDOZ 50 mg, comprimé",7
67901945,"ACARBOSE ZENTIVA 100 mg, comprimé sécable",7
64493666,"ACARBOSE ZENTIVA 50 mg, comprimé",7
67813445,"ACARIZAX 12 SQ-HDM, lyophilisat oral",543
68056062,"ACCOFIL 30 MU/0,5 ml, solution injectable ou pour perfusion en seringue préremplie",727
60812344,"ACCOFIL 48 MU/0,5 ml, solution injectable ou pour perfusion en seringue préremplie",727
67627711,"ACCUSOL 35 POTASSIUM 2 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",
61278936,"ACCUSOL 35 POTASSIUM 4 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",
69430342,"ACCUSOL 35, solution pour hémofiltration, hémodialyse et hémodiafiltration",
63880820,"ACEBUTOLOL ALMUS 200 mg, comprimé pelliculé",8
66904792,"ACEBUTOLOL ARROW 200 mg, comprimé pelliculé",8
62096139,"ACEBUTOLOL ARROW 400 mg, comprimé pelliculé sécable",8
65637614,"ACEBUTOLOL BIOGARAN 200 mg, comprimé pelliculé",8
60281598,"ACEBUTOLOL BIOGARAN 400 mg, comprimé pelliculé",8
64021217,"ACEBUTOLOL CRISTERS 200 mg, comprimé pelliculé",8
67787559,"ACEBUTOLOL CRISTERS 400 mg, comprimé pelliculé",8
69461099,"ACEBUTOLOL EG 200 mg, comprimé pelliculé",8
63874155,"ACEBUTOLOL EG 400 mg, comprimé pelliculé",8
67771398,"ACEBUTOLOL MYLAN 200 mg, comprimé pelliculé",8
62500717,"ACEBUTOLOL MYLAN 400 mg, comprimé pelliculé",8
65521830,"ACEBUTOLOL RANBAXY 200 mg, comprimé pelliculé",8
67470053,"ACEBUTOLOL RANBAXY 400 mg, comprimé pelliculé",8
67951019,"ACEBUTOLOL RATIOPHARM 200 mg, comprimé enrobé",8
62101141,"ACEBUTOLOL RATIOPHARM 400 mg, comprimé enrobé",8
64304820,"ACEBUTOLOL SANDOZ 200 mg, comprimé enrobé",8
67050875,"ACEBUTOLOL SANDOZ 400 mg, comprimé enrobé",8
64847741,"ACEBUTOLOL TEVA 200 mg, comprimé pelliculé",8
62604153,"ACEBUTOLOL TEVA 400 mg, comprimé pelliculé sécable",8
69877717,"ACEBUTOLOL ZENTIVA 200 mg, comprimé pelliculé",8
65842957,"ACEBUTOLOL ZENTIVA 400 mg, comprimé pelliculé",8
60477038,"ACEBUTOLOL ZYDUS 200 mg, comprimé pelliculé",8
63151492,"ACEBUTOLOL ZYDUS 400 mg, comprimé pelliculé",8
